name,host,port,endpoint_type,algorithm,key_length,data_sensitivity,exposure_surface,traffic_volume,cert_expiry_days,risk_tier,risk_score,migration_status
api-gateway-dev-000,10.50.109.9,8080,api,RSA-2048,2048,3,internet-facing,low,724,high,0.545,pending
user-service-prod-001,10.50.115.151,8000,api,RSA-2048,2048,2,internet-facing,medium,544,high,0.54,pending
iot-gateway-prod-002,10.30.56.246,8883,iot,ECC-256,256,3,internet-facing,high,684,high,0.605,pending
sensor-hub-dev-003,10.30.118.138,5683,iot,RSA-2048,2048,4,internet-facing,medium,322,high,0.64,pending
auth-service-dev-004,10.50.18.12,3000,api,ECC-384,384,2,internet-facing,medium,613,medium,0.42,pending
mysql-slave-dev-005,10.30.214.94,27017,database,ECC-256,256,2,air-gapped,high,73,medium,0.3892,pending
redis-cluster-dev-006,10.50.187.63,5432,database,RSA-2048,2048,4,internet-facing,medium,669,high,0.64,pending
postgres-primary-prod-007,10.30.211.9,3306,database,RSA-2048,2048,3,internet-facing,critical,674,high,0.68,pending
device-controller-dev-008,10.30.128.102,5683,iot,RSA-2048,2048,2,internet-facing,critical,550,high,0.63,pending
chip-controller-dev-009,10.50.103.93,8443,firmware,RSA-2048,2048,3,internet-facing,high,521,high,0.635,pending
redis-cluster-dev-010,10.20.109.153,5432,database,ECC-384,384,2,internet-facing,medium,18,medium,0.48,pending
order-api-staging-011,10.10.197.165,8080,api,RSA-2048,2048,2,internal,medium,227,medium,0.42,pending
edge-node-prod-012,10.30.130.234,5683,iot,RSA-2048,2048,3,internal,medium,709,medium,0.47,pending
payment-api-prod-013,10.20.139.245,8000,api,ECC-256,256,1,internet-facing,medium,593,medium,0.46,pending
admin-portal-prod-014,10.30.62.225,443,web,ECC-384,384,1,internal,medium,84,medium,0.255,pending
admin-portal-dev-015,10.20.122.243,8080,web,ECC-384,384,2,internet-facing,medium,40,medium,0.4617,pending
dashboard-ui-staging-016,10.20.172.167,8080,web,RSA-2048,2048,1,internal,medium,186,medium,0.37,pending
sensor-hub-dev-017,10.30.142.59,1883,iot,RSA-2048,2048,3,internal,low,200,medium,0.425,pending
dashboard-ui-prod-018,10.10.132.61,80,web,RSA-2048,2048,1,internet-facing,medium,204,medium,0.49,pending
device-controller-staging-019,10.40.207.105,5683,iot,RSA-4096,4096,1,internet-facing,low,554,medium,0.355,pending
postgres-primary-prod-020,10.10.104.187,27017,database,RSA-2048,2048,4,internal,medium,390,high,0.52,pending
smart-meter-prod-021,10.20.72.119,8883,iot,ECC-256,256,2,internet-facing,low,519,medium,0.465,pending
cache-db-prod-022,10.10.249.24,5432,database,ECC-256,256,3,internet-facing,high,533,high,0.605,pending
mysql-slave-prod-023,10.20.253.100,5432,database,RSA-2048,2048,1,internal,low,380,medium,0.325,pending
smart-meter-prod-024,10.50.49.76,5683,iot,ECC-384,384,2,internal,medium,683,medium,0.3,pending
cache-db-staging-025,10.10.129.236,5432,database,ECC-384,384,3,internal,medium,291,medium,0.35,pending
web-frontend-dev-026,10.50.221.61,80,web,RSA-2048,2048,1,air-gapped,low,160,medium,0.265,pending
firmware-updater-staging-027,10.50.169.150,22,firmware,RSA-2048,2048,3,air-gapped,low,578,medium,0.365,pending
dashboard-ui-staging-028,10.20.34.172,443,web,RSA-2048,2048,2,air-gapped,low,703,medium,0.315,pending
edge-node-prod-029,10.50.19.138,8883,iot,RSA-2048,2048,2,air-gapped,critical,-21,high,0.5425,pending
mongo-replica-prod-030,10.30.113.214,3306,database,RSA-2048,2048,2,internet-facing,medium,40,high,0.5817,pending
internal-tool-staging-031,10.10.239.170,8080,web,RSA-4096,4096,5,internal,critical,639,high,0.57,pending
payment-api-dev-032,10.30.54.184,8000,api,ECC-384,384,2,internet-facing,low,79,medium,0.3842,pending
sensor-hub-dev-033,10.10.109.213,8883,iot,RSA-2048,2048,1,internal,medium,470,medium,0.37,pending
edge-node-dev-034,10.40.110.144,1883,iot,RSA-2048,2048,3,internet-facing,low,238,high,0.545,pending
order-api-dev-035,10.30.38.111,8080,api,RSA-2048,2048,1,air-gapped,high,122,medium,0.355,pending
redis-cluster-dev-036,10.20.27.91,6379,database,RSA-2048,2048,3,internet-facing,critical,10,high,0.7467,pending
admin-portal-staging-037,10.20.7.46,80,web,ECC-256,256,1,internal,medium,128,medium,0.34,pending
device-controller-dev-038,10.30.28.98,1883,iot,ECC-256,256,1,internal,high,722,medium,0.385,pending
auth-service-prod-039,10.30.7.169,3000,api,ECC-256,256,3,internet-facing,high,441,high,0.605,pending
mysql-slave-dev-040,10.50.252.216,6379,database,RSA-2048,2048,3,internet-facing,low,255,high,0.545,pending
dashboard-ui-prod-041,10.50.28.153,80,web,RSA-2048,2048,3,internet-facing,high,237,high,0.635,pending
device-mgr-prod-042,10.40.66.12,22,firmware,RSA-2048,2048,2,internal,medium,493,medium,0.42,pending
hw-manager-staging-043,10.20.18.243,9000,firmware,RSA-2048,2048,2,air-gapped,medium,706,medium,0.36,pending
smart-meter-staging-044,10.30.104.179,5683,iot,RSA-4096,4096,1,internal,low,277,low,0.235,pending
edge-node-dev-045,10.20.78.104,5683,iot,RSA-4096,4096,2,internet-facing,high,358,medium,0.495,pending
customer-app-staging-046,10.30.114.173,8080,web,ECC-256,256,2,internet-facing,low,563,medium,0.465,pending
mongo-replica-dev-047,10.10.170.163,3306,database,RSA-2048,2048,4,internal,critical,723,high,0.61,pending
admin-portal-prod-048,10.20.7.12,443,web,RSA-2048,2048,3,internal,high,658,high,0.515,pending
redis-cluster-dev-049,10.50.179.99,27017,database,ECC-384,384,1,internal,high,436,medium,0.295,pending
boot-loader-dev-050,10.20.133.119,8443,firmware,RSA-2048,2048,3,internet-facing,high,79,high,0.6442,pending
order-api-dev-051,10.50.82.244,443,api,RSA-4096,4096,2,air-gapped,low,106,low,0.225,pending
chip-controller-staging-052,10.20.67.193,8443,firmware,RSA-4096,4096,2,internal,medium,531,medium,0.33,pending
mysql-slave-prod-053,10.30.183.74,3306,database,ECC-256,256,3,internet-facing,high,466,high,0.605,pending
mysql-slave-dev-054,10.20.40.181,3306,database,RSA-2048,2048,4,internet-facing,medium,111,high,0.64,pending
mysql-slave-staging-055,10.20.232.198,5432,database,RSA-2048,2048,4,internal,medium,395,high,0.52,pending
web-frontend-staging-056,10.40.77.193,443,web,ECC-384,384,1,internet-facing,high,559,medium,0.415,pending
boot-loader-staging-057,10.50.57.70,9000,firmware,ECC-256,256,2,air-gapped,medium,722,medium,0.33,pending
chip-controller-prod-058,10.20.252.160,9000,firmware,RSA-2048,2048,3,internet-facing,high,384,high,0.635,pending
admin-portal-staging-059,10.40.47.13,80,web,RSA-2048,2048,4,internet-facing,medium,-3,high,0.7175,pending
iot-gateway-prod-060,10.40.121.5,8883,iot,RSA-2048,2048,2,internet-facing,medium,358,high,0.54,pending
web-frontend-prod-061,10.10.52.215,8080,web,RSA-2048,2048,2,air-gapped,low,40,medium,0.3567,pending
payment-api-staging-062,10.40.43.156,8000,api,RSA-4096,4096,1,internet-facing,medium,87,medium,0.4025,pending
internal-tool-prod-063,10.10.238.80,443,web,ECC-384,384,1,internal,high,137,medium,0.295,pending
internal-tool-dev-064,10.10.213.161,80,web,RSA-4096,4096,3,air-gapped,medium,702,medium,0.32,pending
postgres-primary-staging-065,10.50.137.110,5432,database,RSA-2048,2048,4,internal,high,584,high,0.565,pending
smart-meter-staging-066,10.10.163.229,8883,iot,RSA-2048,2048,2,internal,low,400,medium,0.375,pending
device-mgr-staging-067,10.50.120.112,8443,firmware,RSA-4096,4096,4,internal,high,636,medium,0.475,pending
admin-portal-staging-068,10.40.146.157,443,web,RSA-2048,2048,3,air-gapped,high,58,medium,0.4817,pending
hw-manager-staging-069,10.30.72.226,22,firmware,RSA-2048,2048,2,internal,medium,469,medium,0.42,pending
customer-app-staging-070,10.20.143.195,80,web,RSA-4096,4096,3,internet-facing,low,165,medium,0.455,pending
redis-cluster-staging-071,10.30.178.63,5432,database,RSA-4096,4096,4,internal,medium,-13,high,0.5158,pending
iot-gateway-staging-072,10.50.180.117,8883,iot,RSA-4096,4096,2,internet-facing,medium,322,medium,0.45,pending
device-controller-prod-073,10.50.56.190,1883,iot,RSA-2048,2048,4,internet-facing,high,293,high,0.685,pending
boot-loader-staging-074,10.10.59.93,8443,firmware,RSA-2048,2048,1,internal,high,581,medium,0.415,pending
mongo-replica-dev-075,10.50.242.33,5432,database,RSA-2048,2048,3,internal,low,16,medium,0.4867,pending
boot-loader-prod-076,10.30.65.241,8443,firmware,RSA-2048,2048,3,internet-facing,medium,460,high,0.59,pending
boot-loader-prod-077,10.10.208.145,9000,firmware,RSA-2048,2048,2,internet-facing,medium,560,high,0.54,pending
edge-node-prod-078,10.50.199.134,5683,iot,RSA-2048,2048,3,internet-facing,medium,396,high,0.59,pending
device-mgr-prod-079,10.50.157.246,8443,firmware,RSA-2048,2048,1,internal,high,409,medium,0.415,pending
auth-service-prod-080,10.20.142.20,8080,api,ECC-384,384,2,internet-facing,low,646,medium,0.375,pending
mongo-replica-dev-081,10.20.73.180,5432,database,RSA-2048,2048,3,internal,medium,268,medium,0.47,pending
chip-controller-prod-082,10.20.140.58,9000,firmware,RSA-2048,2048,4,internet-facing,medium,610,high,0.64,pending
cache-db-staging-083,10.50.113.32,6379,database,ECC-384,384,2,internal,low,139,medium,0.255,pending
chip-controller-prod-084,10.40.154.11,9000,firmware,RSA-4096,4096,2,internal,critical,482,medium,0.42,pending
device-mgr-prod-085,10.50.196.173,9000,firmware,RSA-4096,4096,2,internal,low,204,medium,0.285,pending
iot-gateway-prod-086,10.40.150.112,5683,iot,RSA-4096,4096,4,internal,low,501,medium,0.385,pending
boot-loader-staging-087,10.10.106.178,9000,firmware,ECC-384,384,3,internal,medium,298,medium,0.35,pending
firmware-updater-staging-088,10.40.65.83,22,firmware,RSA-2048,2048,2,air-gapped,high,533,medium,0.405,pending
api-gateway-prod-089,10.40.133.93,443,api,ECC-384,384,3,internal,medium,-29,medium,0.4492,pending
admin-portal-staging-090,10.50.113.226,443,web,ECC-256,256,3,internal,high,178,medium,0.485,pending
hw-manager-dev-091,10.20.4.142,9000,firmware,RSA-2048,2048,4,air-gapped,medium,215,medium,0.46,pending
chip-controller-dev-092,10.20.75.131,22,firmware,RSA-2048,2048,2,air-gapped,critical,442,medium,0.45,pending
smart-meter-prod-093,10.20.236.154,5683,iot,RSA-2048,2048,2,internal,medium,437,medium,0.42,pending
dashboard-ui-prod-094,10.50.73.186,443,web,RSA-4096,4096,2,internet-facing,low,394,medium,0.405,pending
smart-meter-staging-095,10.50.86.142,8883,iot,ECC-256,256,1,internal,high,122,medium,0.385,pending
customer-app-prod-096,10.50.220.199,80,web,RSA-2048,2048,3,air-gapped,high,684,medium,0.455,pending
chip-controller-prod-097,10.20.33.129,8443,firmware,RSA-2048,2048,3,internal,high,360,high,0.515,pending
